"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Contacts management","Create a new contact","Positive Tests","6","0","4","0","0"
"Contacts management","Leads","User","9","0","6","0","0"
"Contacts management","Create a new contact","Add contact","2","0","4","0","0"
"Contacts management","Add Activity","Contact Dashboard","5","0","0","0","0"
"Contacts management","Add Activity","Contact Details Page","4","0","0","0","0"
"Contacts management","Create a new contact","Additional Phone","2","0","0","0","0"
"Contacts management","Delete Contact","","20","0","3","0","0"
"Contacts management","Create a new contact","Home Anniversary","2","0","0","0","0"
"Contacts management","Create a new contact","Preferred Method of Contact","4","0","0","0","0"
"Contacts management","Leads","Rainmaker","11","0","2","0","0"
"Contacts management","Create a new contact","Date Of Birth","2","0","0","0","0"
"Contacts management","Export","Positive Tests","1","0","0","0","0"
"Contacts management","Timeline Events","","11","0","0","0","0"
"Contacts management","Tags","User","5","0","2","0","0"
"Contacts management","Custom Fields","","2","0","2","0","0"
"Contacts management","Saved Search","","5","0","0","0","0"
"Contacts management","Create a new contact","Negative Tests","4","0","6","0","0"
"Contacts management","Tasks tab","","4","0","0","0","0"
"Contacts management","Import Contact","","2","0","2","0","0"
"Contacts management","Add Activity","","0","0","5","0","0"
"Contacts management","Share Contact","","2","0","0","0","0"
"Contacts management","Tags","Rainmaker","7","0","0","0","0"
"Contacts management","Edit Contact","","4","0","0","0","0"
"Contacts management","Add contact to Smartplan","","2","0","0","0","0"
"Contacts management","Create a new contact","Additional Email","1","0","0","0","0"
"","","","0","0","0","0","1"
